Top pages,Clicks,Impressions,CTR,Position
https://www.padelcourtsfinder.com/new-york,12,166,7.23%,4.59
https://www.padelcourtsfinder.com/courts/golden-point-padel,0,1,0%,1
https://www.padelcourtsfinder.com/blog/best-padel-clubs-nyc,0,1,0%,5
