Date,Clicks,Impressions,CTR,Position
2026-07-30,1,122,0.82%,9
2026-07-31,0,73,0%,10
2026-08-01,0,89,0%,8.1
2026-08-02,0,71,0%,9.6
2026-08-03,1,104,0.96%,8.1
2026-08-04,0,119,0%,9.1
2026-08-05,0,102,0%,8
2026-08-06,0,110,0%,10.5
2026-08-07,0,113,0%,8.8
2026-08-08,0,103,0%,8.7
2026-08-09,0,1,0%,12
